post_number,person_who_shared,url_of_person_who_shared
1,Manohar Minhas,https://www.facebook.com/manohar.minhas
1,Tedarious Lowe,https://www.facebook.com/tedarious.lowe
2,Pizza Pizza and Flavors of India Niverville,https://www.facebook.com/groups/1779139356326043/
2,Niverville - Buy & Sell,https://www.facebook.com/groups/1518405828474320/
2,Ile Des Chenes and Grande Pointe Communities,https://www.facebook.com/groups/111062562245480/
2,"Pizza Pizza - 40 Drovers Run #2A, Niverville, MB R0A 0A1, Canada",https://www.facebook.com/pizzapizzanivervilleca
2,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
2,Maddie Thompson,https://www.facebook.com/maddietheresaa
2,Fort Richmond Community- Garage Sales,https://www.facebook.com/groups/970291681770543/
2,Indian Professional Network Winnipeg,https://www.facebook.com/groups/163607651121593/
2,The Malayali Association Of Manitoba Inc.(MAM),https://www.facebook.com/groups/488143221580569/
2,South Point Friends Association,https://www.facebook.com/groups/347574342303095/
3,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
3,Jake Williams,https://www.facebook.com/famouzz3
3,Off-Road Ride For Autism,https://www.facebook.com/groups/1153978005082456/
3,The Flotilla for Autism,https://www.facebook.com/FlotillaForAutism
3,Classic Car Ride for Autism,https://www.facebook.com/groups/569431742188672/
3,Motorcycle Ride for Autism,https://www.facebook.com/groups/1108081490373189/
3,Snowmobile Ride For Autism,https://www.facebook.com/groups/364067498724707/
3,Fort Richmond Community- Garage Sales,https://www.facebook.com/groups/970291681770543/
3,The Malayali Association Of Manitoba Inc.(MAM),https://www.facebook.com/groups/488143221580569/
3,South Point Friends Association,https://www.facebook.com/groups/347574342303095/
3,David Robichaud,https://www.facebook.com/david.robichaud.313
4,Manohar Minhas,https://www.facebook.com/manohar.minhas
4,Port Alberni Happenings,https://www.facebook.com/groups/143281736284803/
4,Raj Gill,https://www.facebook.com/raj.gill.3344
4,Pizza Pizza 661 Henderson Hwy.Winnipeg Manitoba,https://www.facebook.com/profile.php
4,PIZZA PIZZA Yorkton,https://www.facebook.com/profile.php
4,Mark Chetcuti,https://www.facebook.com/mark.ch.12
5,Pizza Pizza and Flavors of India Niverville,https://www.facebook.com/groups/1779139356326043/
5,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
5,Pizza Pizza Parksville,https://www.facebook.com/profile.php
5,Pamela Randall,https://www.facebook.com/pamela.randall.75
5,Yode piely Noé,https://www.facebook.com/profile.php
5,Mark Chetcuti,https://www.facebook.com/mark.ch.12
5,Nely Paiva,https://www.facebook.com/profile.php
5,Jim Berry,https://www.facebook.com/jim.berry.9421450
7,Jasvir Sandhu,https://www.facebook.com/jasvir.sandhu.543
7,Gill Chak Kalan,https://www.facebook.com/tsgilltoronto
7,Claude Hamel,https://www.facebook.com/claude.hamel.5
7,Danilo Silma Mota,https://www.facebook.com/danilo.silma.mota
7,Canco Meaford,https://www.facebook.com/canco.pizzapizzameaford
7,Brigitte Bernard,https://www.facebook.com/brigitte.bernard.522
7,Real Lauziere,https://www.facebook.com/real.lauziere
7,Yode piely Noé,https://www.facebook.com/profile.php
7,Manohar Minhas,https://www.facebook.com/manohar.minhas
8,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
